192	131	109	0.44006692	0.30026128	0.24983957
Ｕｐｄａｔｅ	0	0	1	0.00000160	0.00000189	0.00231928
今年	6	5	0	0.00095907	0.00094806	0.00002296
＋	0	1	0	0.00000160	0.00019113	0.00002296
PDA	3	0	0	0.00048033	0.00000189	0.00002296
VP6	1	1	0	0.00016118	0.00019113	0.00002296
相见	0	0	1	0.00000160	0.00000189	0.00231928
涨势	1	0	0	0.00016118	0.00000189	0.00002296
围追	0	1	0	0.00000160	0.00019113	0.00002296
共同	3	0	1	0.00048033	0.00000189	0.00231928
现状	0	1	0	0.00000160	0.00019113	0.00002296
即使	1	1	0	0.00016118	0.00019113	0.00002296
8月	0	1	1	0.00000160	0.00019113	0.00231928
芯片	6	2	0	0.00095907	0.00038036	0.00002296
上调	1	0	0	0.00016118	0.00000189	0.00002296
下调	1	0	0	0.00016118	0.00000189	0.00002296
1月	1	0	1	0.00016118	0.00000189	0.00231928
2月	2	0	0	0.00032075	0.00000189	0.00002296
6月	1	1	0	0.00016118	0.00019113	0.00002296
7月	3	0	0	0.00048033	0.00000189	0.00002296
减少	3	1	0	0.00048033	0.00019113	0.00002296
逻辑	2	0	0	0.00032075	0.00000189	0.00002296
极大	0	1	0	0.00000160	0.00019113	0.00002296
贴	0	1	0	0.00000160	0.00019113	0.00002296
买房	0	3	0	0.00000160	0.00056959	0.00002296
李小龙	1	0	0	0.00016118	0.00000189	0.00002296
阶层	1	0	0	0.00016118	0.00000189	0.00002296
高明	0	1	0	0.00000160	0.00019113	0.00002296
doc	0	1	0	0.00000160	0.00019113	0.00002296
导航	2	0	0	0.00032075	0.00000189	0.00002296
北京	7	5	0	0.00111865	0.00094806	0.00002296
交	2	0	0	0.00032075	0.00000189	0.00002296
大笔	0	1	0	0.00000160	0.00019113	0.00002296
骨干	1	0	0	0.00016118	0.00000189	0.00002296
日记	2	1	0	0.00032075	0.00019113	0.00002296
提问	0	1	0	0.00000160	0.00019113	0.00002296
杂志社	1	0	0	0.00016118	0.00000189	0.00002296
生死	0	4	0	0.00000160	0.00075883	0.00002296
傲然	0	0	1	0.00000160	0.00000189	0.00231928
争端	0	1	0	0.00000160	0.00019113	0.00002296
联通	3	0	0	0.00048033	0.00000189	0.00002296
权	0	1	0	0.00000160	0.00019113	0.00002296
形式	2	2	0	0.00032075	0.00038036	0.00002296
之一	4	0	0	0.00063991	0.00000189	0.00002296
代表团	1	0	0	0.00016118	0.00000189	0.00002296
体系	1	0	0	0.00016118	0.00000189	0.00002296
面子	1	0	0	0.00016118	0.00000189	0.00002296
队伍	1	0	0	0.00016118	0.00000189	0.00002296
政治	1	0	1	0.00016118	0.00000189	0.00231928
表达	1	3	0	0.00016118	0.00056959	0.00002296
杨采妮	0	1	0	0.00000160	0.00019113	0.00002296
地位	1	0	0	0.00016118	0.00000189	0.00002296
440	0	0	1	0.00000160	0.00000189	0.00231928
30%	0	0	1	0.00000160	0.00000189	0.00231928
40%	0	1	0	0.00000160	0.00019113	0.00002296
50%	0	1	0	0.00000160	0.00019113	0.00002296
条	1	2	0	0.00016118	0.00038036	0.00002296
70%	0	0	1	0.00000160	0.00000189	0.00231928
闲庭信步	1	0	0	0.00016118	0.00000189	0.00002296
王俊秀	1	0	0	0.00016118	0.00000189	0.00002296
地价	0	1	0	0.00000160	0.00019113	0.00002296
超市	1	0	0	0.00016118	0.00000189	0.00002296
朝	0	1	0	0.00000160	0.00019113	0.00002296
中国科学院	1	0	0	0.00016118	0.00000189	0.00002296
期	3	0	0	0.00048033	0.00000189	0.00002296
专利权	0	1	0	0.00000160	0.00019113	0.00002296
赌博	0	3	0	0.00000160	0.00056959	0.00002296
唐纳德	1	0	0	0.00016118	0.00000189	0.00002296
32M	0	0	1	0.00000160	0.00000189	0.00231928
盛大	1	0	0	0.00016118	0.00000189	0.00002296
有	23	24	0	0.00367192	0.00454349	0.00002296
栋	2	1	0	0.00032075	0.00019113	0.00002296
随着	2	3	0	0.00032075	0.00056959	0.00002296
最	19	10	0	0.00303360	0.00189423	0.00002296
支柱	1	0	0	0.00016118	0.00000189	0.00002296
工作日	0	0	1	0.00000160	0.00000189	0.00231928
交通	1	0	0	0.00016118	0.00000189	0.00002296
好比	0	0	1	0.00000160	0.00000189	0.00231928
12	2	0	0	0.00032075	0.00000189	0.00002296
紫金网	0	0	1	0.00000160	0.00000189	0.00231928
继续	0	6	0	0.00000160	0.00113729	0.00002296
一	40	40	0	0.00638476	0.00757123	0.00002296
谈判桌	0	0	1	0.00000160	0.00000189	0.00231928
根本	0	2	0	0.00000160	0.00038036	0.00002296
未	1	3	0	0.00016118	0.00056959	0.00002296
末	2	0	0	0.00032075	0.00000189	0.00002296
本	0	1	0	0.00000160	0.00019113	0.00002296
置换	0	1	0	0.00000160	0.00019113	0.00002296
大	26	20	0	0.00415066	0.00378656	0.00002296
贴心	1	0	0	0.00016118	0.00000189	0.00002296
经过	2	1	0	0.00032075	0.00019113	0.00002296
巨	0	0	1	0.00000160	0.00000189	0.00231928
一代	5	6	0	0.00079949	0.00113729	0.00002296
总局	1	0	0	0.00016118	0.00000189	0.00002296
少林	0	0	1	0.00000160	0.00000189	0.00231928
伊始	0	0	1	0.00000160	0.00000189	0.00231928
文化	1	0	1	0.00016118	0.00000189	0.00231928
jpg	0	1	0	0.00000160	0.00019113	0.00002296
像	5	4	0	0.00079949	0.00075883	0.00002296
Outlook	2	0	0	0.00032075	0.00000189	0.00002296
被窃	0	1	0	0.00000160	0.00019113	0.00002296
提示	1	0	0	0.00016118	0.00000189	0.00002296
或者	3	0	0	0.00048033	0.00000189	0.00002296
之间	4	2	0	0.00063991	0.00038036	0.00002296
义务	0	0	1	0.00000160	0.00000189	0.00231928
索尼	0	1	0	0.00000160	0.00019113	0.00002296
网页	0	1	1	0.00000160	0.00019113	0.00231928
项	2	4	0	0.00032075	0.00075883	0.00002296
须	0	1	0	0.00000160	0.00019113	0.00002296
黑暗	1	0	0	0.00016118	0.00000189	0.00002296
湖面	2	0	0	0.00032075	0.00000189	0.00002296
重要	10	2	0	0.00159739	0.00038036	0.00002296
586	0	1	0	0.00000160	0.00019113	0.00002296
附件	0	2	0	0.00000160	0.00038036	0.00002296
强制性	1	0	0	0.00016118	0.00000189	0.00002296
秦皇岛	0	1	0	0.00000160	0.00019113	0.00002296
水深	1	0	0	0.00016118	0.00000189	0.00002296
片中	0	1	0	0.00000160	0.00019113	0.00002296
VIVI	0	1	0	0.00000160	0.00019113	0.00002296
程度	0	0	1	0.00000160	0.00000189	0.00231928
信箱	0	1	0	0.00000160	0.00019113	0.00002296
跳舞	1	0	0	0.00016118	0.00000189	0.00002296
三星	0	1	0	0.00000160	0.00019113	0.00002296
等离子	1	0	0	0.00016118	0.00000189	0.00002296
业务	1	2	0	0.00016118	0.00038036	0.00002296
住房	0	1	0	0.00000160	0.00019113	0.00002296
22.985	1	0	0	0.00016118	0.00000189	0.00002296
中关村	1	0	0	0.00016118	0.00000189	0.00002296
投入	1	0	0	0.00016118	0.00000189	0.00002296
使用	11	8	0	0.00175697	0.00151576	0.00002296
平滑	1	0	0	0.00016118	0.00000189	0.00002296
二锅头	0	0	1	0.00000160	0.00000189	0.00231928
反而	0	2	0	0.00000160	0.00038036	0.00002296
自动	2	1	0	0.00032075	0.00019113	0.00002296
索要	0	0	1	0.00000160	0.00000189	0.00231928
静态图像	1	0	0	0.00016118	0.00000189	0.00002296
分钟	1	0	0	0.00016118	0.00000189	0.00002296
捂	3	0	0	0.00048033	0.00000189	0.00002296
昨日	1	0	0	0.00016118	0.00000189	0.00002296
飞	1	0	0	0.00016118	0.00000189	0.00002296
单个	3	1	0	0.00048033	0.00019113	0.00002296
包括	6	5	0	0.00095907	0.00094806	0.00002296
陈至立	1	0	0	0.00016118	0.00000189	0.00002296
McAfee	1	0	0	0.00016118	0.00000189	0.00002296
水准	1	1	0	0.00016118	0.00019113	0.00002296
内涵	2	0	0	0.00032075	0.00000189	0.00002296
崇拜者	0	1	0	0.00000160	0.00019113	0.00002296
切实	1	0	0	0.00016118	0.00000189	0.00002296
活动	2	0	1	0.00032075	0.00000189	0.00231928
特殊	3	1	0	0.00048033	0.00019113	0.00002296
幽灵	0	1	0	0.00000160	0.00019113	0.00002296
任务	1	2	1	0.00016118	0.00038036	0.00231928
网络股	1	0	0	0.00016118	0.00000189	0.00002296
看到	7	2	0	0.00111865	0.00038036	0.00002296
集体	1	0	0	0.00016118	0.00000189	0.00002296
19.365	1	0	0	0.00016118	0.00000189	0.00002296
电信公司	0	1	0	0.00000160	0.00019113	0.00002296
坚定	1	0	1	0.00016118	0.00000189	0.00231928
等于	1	0	0	0.00016118	0.00000189	0.00002296
靓	1	0	0	0.00016118	0.00000189	0.00002296
领导	1	0	0	0.00016118	0.00000189	0.00002296
PC	3	2	0	0.00048033	0.00038036	0.00002296
回到	0	1	0	0.00000160	0.00019113	0.00002296
频	1	0	0	0.00016118	0.00000189	0.00002296
过渡	2	0	0	0.00032075	0.00000189	0.00002296
家庭	4	2	0	0.00063991	0.00038036	0.00002296
On2Technologies	1	0	0	0.00016118	0.00000189	0.00002296
下去	0	1	0	0.00000160	0.00019113	0.00002296
实施	4	0	0	0.00063991	0.00000189	0.00002296
优秀	1	0	0	0.00016118	0.00000189	0.00002296
预	0	1	0	0.00000160	0.00019113	0.00002296
8日	1	0	0	0.00016118	0.00000189	0.00002296
颇	2	0	0	0.00032075	0.00000189	0.00002296
Google	6	2	0	0.00095907	0.00038036	0.00002296
1日	1	0	1	0.00016118	0.00000189	0.00231928
产权保护	1	0	0	0.00016118	0.00000189	0.00002296
7日	2	1	0	0.00032075	0.00019113	0.00002296
精神	6	1	0	0.00095907	0.00019113	0.00002296
分量	0	1	0	0.00000160	0.00019113	0.00002296
2015年	2	0	0	0.00032075	0.00000189	0.00002296
估计	0	1	0	0.00000160	0.00019113	0.00002296
燃烧	0	1	0	0.00000160	0.00019113	0.00002296
跨越	2	0	0	0.00032075	0.00000189	0.00002296
流通	1	0	0	0.00016118	0.00000189	0.00002296
忍气吞声	0	1	0	0.00000160	0.00019113	0.00002296
安装	0	2	1	0.00000160	0.00038036	0.00231928
思想	6	0	0	0.00095907	0.00000189	0.00002296
主流	2	0	0	0.00032075	0.00000189	0.00002296
网	6	3	0	0.00095907	0.00056959	0.00002296
广	1	0	0	0.00016118	0.00000189	0.00002296
针对	2	1	0	0.00032075	0.00019113	0.00002296
老沙	1	0	0	0.00016118	0.00000189	0.00002296
慰问	2	0	0	0.00032075	0.00000189	0.00002296
9C	0	1	0	0.00000160	0.00019113	0.00002296
彻底	1	0	0	0.00016118	0.00000189	0.00002296
总之	0	2	0	0.00000160	0.00038036	0.00002296
3C	1	0	0	0.00016118	0.00000189	0.00002296
吸取	0	1	0	0.00000160	0.00019113	0.00002296
6C	2	2	0	0.00032075	0.00038036	0.00002296
节奏感	1	0	0	0.00016118	0.00000189	0.00002296
上数	0	0	1	0.00000160	0.00000189	0.00231928
赠予	0	0	1	0.00000160	0.00000189	0.00231928
务实	1	0	0	0.00016118	0.00000189	0.00002296
样机	1	0	0	0.00016118	0.00000189	0.00002296
售后服务	0	2	0	0.00000160	0.00038036	0.00002296
偷工减料	1	0	0	0.00016118	0.00000189	0.00002296
透过	0	1	0	0.00000160	0.00019113	0.00002296
认真	1	0	0	0.00016118	0.00000189	0.00002296
沿用	0	0	1	0.00000160	0.00000189	0.00231928
手动	0	1	0	0.00000160	0.00019113	0.00002296
演播	1	0	0	0.00016118	0.00000189	0.00002296
上面	0	0	1	0.00000160	0.00000189	0.00231928
甲醛	1	9	0	0.00016118	0.00170499	0.00002296
概念	5	0	0	0.00079949	0.00000189	0.00002296
结算	1	0	0	0.00016118	0.00000189	0.00002296
力量	1	0	0	0.00016118	0.00000189	0.00002296
计算机全	1	0	0	0.00016118	0.00000189	0.00002296
其他	4	6	0	0.00063991	0.00113729	0.00002296
字幕	1	1	0	0.00016118	0.00019113	0.00002296
Skype	0	0	1	0.00000160	0.00000189	0.00231928
堵截	0	1	0	0.00000160	0.00019113	0.00002296
大刀阔斧	1	0	0	0.00016118	0.00000189	0.00002296
深深	0	1	0	0.00000160	0.00019113	0.00002296
刻录	6	5	0	0.00095907	0.00094806	0.00002296
调节	0	1	0	0.00000160	0.00019113	0.00002296
上市	1	2	1	0.00016118	0.00038036	0.00231928
107.11%	1	0	0	0.00016118	0.00000189	0.00002296
2004年	1	1	0	0.00016118	0.00019113	0.00002296
适应	1	0	0	0.00016118	0.00000189	0.00002296
GCI	1	0	0	0.00016118	0.00000189	0.00002296
吸引力	2	0	0	0.00032075	0.00000189	0.00002296
科技	2	0	0	0.00032075	0.00000189	0.00002296
进行	11	7	1	0.00175697	0.00132653	0.00231928
故	0	1	0	0.00000160	0.00019113	0.00002296
火爆	1	0	0	0.00016118	0.00000189	0.00002296
运行	11	5	0	0.00175697	0.00094806	0.00002296
心安理得	0	1	0	0.00000160	0.00019113	0.00002296
家电	1	1	0	0.00016118	0.00019113	0.00002296
接入	1	0	0	0.00016118	0.00000189	0.00002296
购物	0	3	0	0.00000160	0.00056959	0.00002296
上午	1	0	0	0.00016118	0.00000189	0.00002296
下午	1	0	0	0.00016118	0.00000189	0.00002296
倡导	1	0	0	0.00016118	0.00000189	0.00002296
硬是	0	1	0	0.00000160	0.00019113	0.00002296
交流	1	0	0	0.00016118	0.00000189	0.00002296
敢	1	0	0	0.00016118	0.00000189	0.00002296
辛勤	1	0	0	0.00016118	0.00000189	0.00002296
广告	2	1	0	0.00032075	0.00019113	0.00002296
那么	1	2	0	0.00016118	0.00038036	0.00002296
手机	10	3	0	0.00159739	0.00056959	0.00002296
独立自主	1	0	0	0.00016118	0.00000189	0.00002296
自觉	1	0	0	0.00016118	0.00000189	0.00002296
获	1	0	0	0.00016118	0.00000189	0.00002296
与此同时	1	0	0	0.00016118	0.00000189	0.00002296
复苏	1	0	0	0.00016118	0.00000189	0.00002296
人数	0	0	1	0.00000160	0.00000189	0.00231928
齐全	1	0	0	0.00016118	0.00000189	0.00002296
后台	1	0	0	0.00016118	0.00000189	0.00002296
亲爱	0	1	0	0.00000160	0.00019113	0.00002296
你中有我	1	0	0	0.00016118	0.00000189	0.00002296
首	5	0	0	0.00079949	0.00000189	0.00002296
再接再厉	1	0	0	0.00016118	0.00000189	0.00002296
价格便宜	0	1	0	0.00000160	0.00019113	0.00002296
惊艳	0	1	0	0.00000160	0.00019113	0.00002296
急速	0	0	1	0.00000160	0.00000189	0.00231928
放	0	1	0	0.00000160	0.00019113	0.00002296
干扰	1	0	0	0.00016118	0.00000189	0.00002296
CASIO	2	0	0	0.00032075	0.00000189	0.00002296
集成电路	1	0	0	0.00016118	0.00000189	0.00002296
一千	0	1	0	0.00000160	0.00019113	0.00002296
用户	12	17	0	0.00191655	0.00321886	0.00002296
逐渐	3	0	0	0.00048033	0.00000189	0.00002296
需要	5	8	0	0.00079949	0.00151576	0.00002296
尚未	0	2	0	0.00000160	0.00038036	0.00002296
华尔街日报	1	0	0	0.00016118	0.00000189	0.00002296
越来越	5	4	0	0.00079949	0.00075883	0.00002296
电信运营	0	1	0	0.00000160	0.00019113	0.00002296
众多	1	0	0	0.00016118	0.00000189	0.00002296
导向	1	0	0	0.00016118	0.00000189	0.00002296
前景	0	1	0	0.00000160	0.00019113	0.00002296
BBS	2	1	0	0.00032075	0.00019113	0.00002296
出世	1	1	0	0.00016118	0.00019113	0.00002296
以前	1	1	0	0.00016118	0.00019113	0.00002296
破坏	0	1	0	0.00000160	0.00019113	0.00002296
申报	1	0	0	0.00016118	0.00000189	0.00002296
突破	1	0	0	0.00016118	0.00000189	0.00002296
感想	0	1	0	0.00000160	0.00019113	0.00002296
10.73%	1	0	0	0.00016118	0.00000189	0.00002296
鹏	1	0	0	0.00016118	0.00000189	0.00002296
尽管	1	2	0	0.00016118	0.00038036	0.00002296
蠕虫	0	7	0	0.00000160	0.00132653	0.00002296
时	12	13	0	0.00191655	0.00246193	0.00002296
并且	2	2	0	0.00032075	0.00038036	0.00002296
冷水	0	1	0	0.00000160	0.00019113	0.00002296
无	1	6	0	0.00016118	0.00113729	0.00002296
新款	1	0	0	0.00016118	0.00000189	0.00002296
既	1	1	0	0.00016118	0.00019113	0.00002296
目的	4	5	0	0.00063991	0.00094806	0.00002296
日	0	1	1	0.00000160	0.00019113	0.00231928
料	0	1	0	0.00000160	0.00019113	0.00002296
凌	1	0	0	0.00016118	0.00000189	0.00002296
紧紧	2	0	0	0.00032075	0.00000189	0.00002296
惊喜	2	2	0	0.00032075	0.00038036	0.00002296
发现	0	3	0	0.00000160	0.00056959	0.00002296
全球性	1	0	0	0.00016118	0.00000189	0.00002296
工厂	0	0	1	0.00000160	0.00000189	0.00231928
预期	0	1	0	0.00000160	0.00019113	0.00002296
套装	1	0	0	0.00016118	0.00000189	0.00002296
分配	0	1	0	0.00000160	0.00019113	0.00002296
文	1	0	0	0.00016118	0.00000189	0.00002296
Salas	0	1	0	0.00000160	0.00019113	0.00002296
方	1	0	0	0.00016118	0.00000189	0.00002296
8％	0	2	0	0.00000160	0.00038036	0.00002296
传播	2	1	1	0.00032075	0.00019113	0.00231928
包围圈	1	0	0	0.00016118	0.00000189	0.00002296
电视剧	1	0	0	0.00016118	0.00000189	0.00002296
参与	0	1	0	0.00000160	0.00019113	0.00002296
合同	1	1	0	0.00016118	0.00019113	0.00002296
相反	1	0	0	0.00016118	0.00000189	0.00002296
约束	0	1	0	0.00000160	0.00019113	0.00002296
传输	0	0	1	0.00000160	0.00000189	0.00231928
加入	3	3	0	0.00048033	0.00056959	0.00002296
无动于衷	0	0	1	0.00000160	0.00000189	0.00231928
的确	0	2	0	0.00000160	0.00038036	0.00002296
发票	1	0	1	0.00016118	0.00000189	0.00231928
黛	0	1	0	0.00000160	0.00019113	0.00002296
绝技	0	0	1	0.00000160	0.00000189	0.00231928
合同法	0	0	1	0.00000160	0.00000189	0.00231928
黑	2	2	0	0.00032075	0.00038036	0.00002296
克斯	0	1	0	0.00000160	0.00019113	0.00002296
月	4	2	0	0.00063991	0.00038036	0.00002296
勉励	1	0	0	0.00016118	0.00000189	0.00002296
通讯社	1	0	0	0.00016118	0.00000189	0.00002296
37％	0	0	1	0.00000160	0.00000189	0.00231928
47％	0	1	0	0.00000160	0.00019113	0.00002296
杜撰	1	0	0	0.00016118	0.00000189	0.00002296
具体	1	0	1	0.00016118	0.00000189	0.00231928
万利达	1	1	0	0.00016118	0.00019113	0.00002296
文章	0	4	1	0.00000160	0.00075883	0.00231928
江湖	1	0	0	0.00016118	0.00000189	0.00002296
后者	0	1	0	0.00000160	0.00019113	0.00002296
激活	0	1	1	0.00000160	0.00019113	0.00231928
周边	1	0	0	0.00016118	0.00000189	0.00002296
新华	1	0	0	0.00016118	0.00000189	0.00002296
战略	1	1	1	0.00016118	0.00019113	0.00231928
简单	4	1	0	0.00063991	0.00019113	0.00002296
大部分	1	1	0	0.00016118	0.00019113	0.00002296
允许	0	1	0	0.00000160	0.00019113	0.00002296
新华网	0	0	1	0.00000160	0.00000189	0.00231928
电源适配器	1	0	0	0.00016118	0.00000189	0.00002296
保持良好	1	0	0	0.00016118	0.00000189	0.00002296
HTTP	1	0	0	0.00016118	0.00000189	0.00002296
真的	1	1	0	0.00016118	0.00019113	0.00002296
程	7	1	1	0.00111865	0.00019113	0.00231928
出现	8	6	0	0.00127823	0.00113729	0.00002296
稍	1	0	0	0.00016118	0.00000189	0.00002296
陆续	1	0	0	0.00016118	0.00000189	0.00002296
最为	1	0	0	0.00016118	0.00000189	0.00002296
计算	2	0	0	0.00032075	0.00000189	0.00002296
最初	0	1	0	0.00000160	0.00019113	0.00002296
以下	3	0	0	0.00048033	0.00000189	0.00002296
时隔	1	0	0	0.00016118	0.00000189	0.00002296
反映	1	3	0	0.00016118	0.00056959	0.00002296
724	1	0	0	0.00016118	0.00000189	0.00002296
委托	0	2	0	0.00000160	0.00038036	0.00002296
MultiMediaCard	0	0	1	0.00000160	0.00000189	0.00231928
规定	0	3	0	0.00000160	0.00056959	0.00002296
Blog	4	6	1	0.00063991	0.00113729	0.00231928
VCD	0	2	0	0.00000160	0.00038036	0.00002296
站	1	1	0	0.00016118	0.00019113	0.00002296
组装	0	0	1	0.00000160	0.00000189	0.00231928
论坛	5	1	0	0.00079949	0.00019113	0.00002296
逐步	1	0	0	0.00016118	0.00000189	0.00002296
刚刚	3	2	0	0.00048033	0.00038036	0.00002296
英雄	1	0	0	0.00016118	0.00000189	0.00002296
威胁	0	1	0	0.00000160	0.00019113	0.00002296
为了	4	0	0	0.00063991	0.00000189	0.00002296
未知数	0	0	1	0.00000160	0.00000189	0.00231928
现在	8	4	0	0.00127823	0.00075883	0.00002296
苦役	0	0	1	0.00000160	0.00000189	0.00231928
年	4	2	0	0.00063991	0.00038036	0.00002296
警惕	0	1	0	0.00000160	0.00019113	0.00002296
突围	1	0	0	0.00016118	0.00000189	0.00002296
后天	0	1	0	0.00000160	0.00019113	0.00002296
星期	0	0	1	0.00000160	0.00000189	0.00231928
攻关	1	0	0	0.00016118	0.00000189	0.00002296
低下	0	1	0	0.00000160	0.00019113	0.00002296
齿	0	1	0	0.00000160	0.00019113	0.00002296
多次	1	0	0	0.00016118	0.00000189	0.00002296
米高梅	0	1	0	0.00000160	0.00019113	0.00002296
文明	1	0	0	0.00016118	0.00000189	0.00002296
支持	9	5	0	0.00143781	0.00094806	0.00002296
自然而然	1	0	0	0.00016118	0.00000189	0.00002296
Windows	2	0	0	0.00032075	0.00000189	0.00002296
能力	4	1	1	0.00063991	0.00019113	0.00231928
最后	0	1	1	0.00000160	0.00019113	0.00231928
5年	1	0	0	0.00016118	0.00000189	0.00002296
多种	3	0	0	0.00048033	0.00000189	0.00002296
祥和	1	0	0	0.00016118	0.00000189	0.00002296
利器	0	2	0	0.00000160	0.00038036	0.00002296
drocerr	0	1	0	0.00000160	0.00019113	0.00002296
网站	11	18	0	0.00175697	0.00340809	0.00002296
窃	0	1	0	0.00000160	0.00019113	0.00002296
眼圈	0	1	0	0.00000160	0.00019113	0.00002296
匹配	0	0	1	0.00000160	0.00000189	0.00231928
相对	0	1	0	0.00000160	0.00019113	0.00002296
解放思想	1	0	0	0.00016118	0.00000189	0.00002296
Harold	1	0	0	0.00016118	0.00000189	0.00002296
11Google	1	0	0	0.00016118	0.00000189	0.00002296
园区	1	0	0	0.00016118	0.00000189	0.00002296
高速	6	0	0	0.00095907	0.00000189	0.00002296
见到	1	0	0	0.00016118	0.00000189	0.00002296
情况	2	3	1	0.00032075	0.00056959	0.00231928
里程碑式	1	0	0	0.00016118	0.00000189	0.00002296
旗帜	1	0	0	0.00016118	0.00000189	0.00002296
Word	1	0	0	0.00016118	0.00000189	0.00002296
无关	0	0	1	0.00000160	0.00000189	0.00231928
出卖	0	0	1	0.00000160	0.00000189	0.00231928
黎明	0	1	0	0.00000160	0.00019113	0.00002296
酝酿	1	0	0	0.00016118	0.00000189	0.00002296
当初	1	0	0	0.00016118	0.00000189	0.00002296
抵制	0	1	0	0.00000160	0.00019113	0.00002296
多样	1	0	0	0.00016118	0.00000189	0.00002296
jpeg	0	1	0	0.00000160	0.00019113	0.00002296
ＡＳＣＩＩ	1	0	0	0.00016118	0.00000189	0.00002296
大家	5	0	0	0.00079949	0.00000189	0.00002296
日期	1	1	1	0.00016118	0.00019113	0.00231928
只要	0	2	0	0.00000160	0.00038036	0.00002296
数码	1	0	0	0.00016118	0.00000189	0.00002296
无疑	3	4	0	0.00048033	0.00075883	0.00002296
失望	0	1	0	0.00000160	0.00019113	0.00002296
蛛丝马迹	0	1	0	0.00000160	0.00019113	0.00002296
期限	0	1	0	0.00000160	0.00019113	0.00002296
不仅	1	0	0	0.00016118	0.00000189	0.00002296
现场	1	1	0	0.00016118	0.00019113	0.00002296
也就是说	0	1	0	0.00000160	0.00019113	0.00002296
雨后春笋	1	0	0	0.00016118	0.00000189	0.00002296
备受	1	0	0	0.00016118	0.00000189	0.00002296
笑	0	1	0	0.00000160	0.00019113	0.00002296
心得	1	0	0	0.00016118	0.00000189	0.00002296
更新换代	0	1	0	0.00000160	0.00019113	0.00002296
测评	1	0	0	0.00016118	0.00000189	0.00002296
涂料	0	1	0	0.00000160	0.00019113	0.00002296
回答	0	1	0	0.00000160	0.00019113	0.00002296
龙	3	0	0	0.00048033	0.00000189	0.00002296
实效性	2	0	0	0.00032075	0.00000189	0.00002296
频道	1	0	0	0.00016118	0.00000189	0.00002296
广电	5	0	0	0.00079949	0.00000189	0.00002296
家	4	6	0	0.00063991	0.00113729	0.00002296
创造者	1	0	0	0.00016118	0.00000189	0.00002296
联手	1	1	0	0.00016118	0.00019113	0.00002296
曾志伟	1	0	0	0.00016118	0.00000189	0.00002296
低于	0	1	0	0.00000160	0.00019113	0.00002296
嗅到	1	0	0	0.00016118	0.00000189	0.00002296
安全	1	2	0	0.00016118	0.00038036	0.00002296
完全	2	2	0	0.00032075	0.00038036	0.00002296
第	0	0	1	0.00000160	0.00000189	0.00231928
仿佛	1	0	1	0.00016118	0.00000189	0.00231928
